                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0559,                 2.4666,                 1.3286,                  0.996,                0.61764,                0.60827,                0.57819,                0.22391,                0.57342,                0.49127,                0.46268,                0.14626,                 2.0264,                 2.5615,                 1.9202,                0.92165,              0.0015644,              0.0015644,              0.0015644
                     36,                 2.0837,                 2.4394,                 1.3101,                 1.0056,                0.62322,                0.58572,                0.58008,                0.22667,                 0.5199,                0.49418,                0.43454,                0.12405,                 2.0775,                 2.4582,                 1.7908,                0.95648,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.0769,                 2.4404,                   1.37,                 1.0176,                0.58527,                0.56307,                0.52296,                0.19094,                0.51495,                0.43142,                0.39638,                0.10347,                  2.178,                  2.642,                 1.6137,                0.97603,               0.001538,               0.001538,               0.001538
                     38,                  2.062,                 2.4415,                 1.3261,                 1.0042,                0.61842,                0.56583,                0.56372,                0.22082,                0.58631,                0.54115,                0.54145,                0.20276,                 2.0599,                 2.4359,                 1.5297,                0.94099,              0.0015248,              0.0015248,              0.0015248
                     39,                 2.0604,                  2.424,                 1.3245,                 1.0088,                0.56128,                0.57107,                0.56352,                0.22168,                0.57285,                 0.5212,                0.54459,                0.19111,                 2.0302,                 2.4314,                 1.6032,                0.92886,              0.0015116,              0.0015116,              0.0015116
                     40,                 2.0134,                 2.3987,                 1.2615,                 1.0019,                0.59515,                0.59352,                0.57458,                0.23385,                0.55582,                0.51372,                0.45982,                0.15428,                 2.0409,                 2.4717,                 1.5966,                0.91602,              0.0014984,              0.0014984,              0.0014984
                     41,                  2.073,                 2.4441,                 1.3569,                0.99066,                0.69164,                0.57052,                0.60757,                0.24057,                0.60396,                 0.4982,                0.47251,                 0.1423,                 2.0396,                  2.514,                 1.5309,                 0.9258,              0.0014852,              0.0014852,              0.0014852
                     42,                 2.0532,                 2.4455,                  1.311,                 1.0085,                0.65649,                0.57606,                0.58003,                0.23513,                0.63858,                0.56858,                0.57083,                 0.1968,                 1.9823,                 2.4154,                 1.5802,                0.93233,               0.001472,               0.001472,               0.001472
                     43,                 2.0281,                 2.3507,                 1.2935,                 1.0052,                0.65788,                0.57606,                0.61535,                 0.2407,                0.60753,                0.52618,                0.52109,                0.16624,                  1.993,                 2.4991,                 1.5101,                0.92857,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.0249,                 2.3818,                   1.29,                0.98665,                0.68559,                0.59102,                0.62537,                0.24027,                0.58567,                0.50873,                0.50021,                0.14643,                 2.0067,                 2.4489,                 1.5005,                0.92439,              0.0014456,              0.0014456,              0.0014456
                     45,                 2.0209,                 2.3754,                  1.263,                 1.0088,                0.60679,                0.57725,                0.59949,                0.23558,                0.58786,                 0.4414,                0.46886,                0.13775,                 2.1022,                 2.4813,                 1.5865,                0.93265,              0.0014324,              0.0014324,              0.0014324
                     46,                 2.0496,                 2.3826,                  1.274,                0.99824,                0.63561,                0.61347,                0.59773,                0.21797,                 0.5558,                0.52618,                0.48128,                  0.143,                 2.1091,                 2.4145,                 1.5009,                0.95167,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.9995,                 2.3412,                 1.2215,                0.98631,                0.61542,                0.57855,                0.56576,                0.22758,                0.58839,                0.51691,                0.49095,                0.16186,                 2.0242,                 2.3558,                 1.5065,                0.94136,               0.001406,               0.001406,               0.001406
                     48,                 2.0516,                 2.4088,                 1.2815,                0.98958,                0.64219,                0.57289,                0.59684,                0.23039,                0.58628,                0.52302,                0.50854,                0.16159,                 2.0138,                  2.326,                 1.5706,                0.92789,              0.0013928,              0.0013928,              0.0013928
                     49,                 2.0086,                 2.3576,                 1.2605,                 0.9824,                0.60476,                0.57616,                0.55554,                0.21537,                0.56898,                0.51684,                0.47677,                0.14208,                 1.9939,                 2.4095,                 1.7562,                0.92413,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.9999,                 2.3636,                 1.2428,                 0.9797,                0.70646,                0.61845,                0.64991,                 0.2469,                0.64366,                0.54364,                   0.54,                0.17753,                 2.0286,                 2.3689,                 1.4374,                0.91795,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.9797,                 2.3185,                 1.2155,                0.98728,                0.61999,                0.59401,                0.57931,                 0.2322,                0.58441,                0.46883,                0.46352,                0.14678,                 2.0242,                 2.4716,                 1.7176,                0.92345,              0.0013532,              0.0013532,              0.0013532
                     52,                 2.0002,                 2.3436,                 1.2549,                0.97244,                0.62602,                0.62095,                0.59673,                0.23262,                0.58519,                0.52618,                0.48987,                0.15077,                 2.0826,                 2.4333,                 1.5387,                0.92857,                0.00134,                0.00134,                0.00134
                     53,                 1.9856,                 2.2974,                 1.2197,                0.99764,                0.62168,                 0.5611,                0.55523,                0.22718,                0.62231,                0.54237,                0.54415,                0.18447,                 1.9881,                 2.4289,                 1.4835,                0.92088,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.9803,                 2.3234,                 1.2021,                0.98831,                0.67213,                0.56359,                0.60874,                0.25345,                0.61219,                0.49127,                0.50915,                0.17322,                 1.9758,                 2.2361,                 1.3879,                0.91689,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.9757,                 2.3428,                 1.2144,                0.98267,                0.70999,                0.61596,                 0.6588,                0.27351,                0.63668,                0.53616,                0.54917,                 0.1821,                 2.0094,                  2.299,                 1.4174,                0.92662,              0.0013004,              0.0013004,              0.0013004
                     56,                  2.004,                 2.3782,                 1.2355,                0.98982,                0.69125,                 0.5974,                 0.6306,                0.25081,                0.59943,                0.50873,                0.50675,                0.15313,                 1.9982,                 2.4036,                 1.4899,                0.92734,              0.0012872,              0.0012872,              0.0012872
