                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.9977,                 2.2357,                 1.2101,                0.98699,                0.65542,                0.60458,                0.58449,                0.23885,                0.57535,                0.51307,                0.48123,                0.16355,                 2.1207,                 2.5997,                 1.5289,                 1.0179,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.9367,                 2.3263,                 1.2264,                0.97949,                0.67709,                0.55556,                0.57115,                0.24276,                0.60957,                0.50654,                0.49804,                0.18052,                  2.066,                 2.6276,                 1.5263,                  1.027,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.9275,                 2.2403,                 1.1815,                 0.9833,                0.62632,                0.53679,                0.54153,                0.23445,                0.53716,                0.46271,                0.44029,                0.15217,                 2.1338,                 2.7797,                 1.6034,                 1.0394,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.9784,                 2.3201,                 1.2512,                0.97155,                0.65979,                0.62092,                0.60268,                0.25958,                0.56603,                0.53268,                 0.4933,                0.17601,                 2.0382,                 2.6901,                 1.4776,                 1.0109,                0.00134,                0.00134,                0.00134
                     53,                 1.8963,                 2.2296,                 1.2211,                0.95954,                0.59983,                0.62092,                0.57133,                0.25107,                0.57327,                0.48693,                0.48909,                0.17258,                 1.9578,                 2.5008,                 1.4434,                 0.9838,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.9476,                 2.2968,                 1.1801,                0.97021,                0.67748,                0.61111,                0.59427,                0.25817,                0.58649,                0.52377,                 0.5016,                0.19472,                 2.0529,                 2.6082,                 1.4844,                 1.0128,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.8979,                 2.3367,                 1.1584,                0.95098,                0.67995,                0.54902,                0.56208,                0.25902,                0.60614,                0.48784,                0.49765,                0.19494,                 2.0569,                 2.5852,                 1.4982,                 1.0162,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.9927,                 2.2879,                 1.2495,                0.95824,                0.64285,                 0.5817,                0.57374,                0.25518,                0.56701,                0.51307,                0.48967,                0.18176,                 2.0336,                 2.6171,                 1.4938,                0.99752,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.8953,                 2.2707,                 1.1607,                0.95737,                0.65211,                0.56536,                0.57347,                0.24597,                0.60868,                0.45098,                0.45047,                0.15662,                 2.1626,                 2.7717,                 1.4428,                 1.0194,               0.001274,               0.001274,               0.001274
                     58,                  1.912,                 2.2795,                  1.211,                0.94974,                0.65597,                0.59804,                0.57421,                0.24297,                0.58165,                0.52941,                0.48374,                 0.1662,                 2.0509,                 2.6295,                 1.4782,                 1.0013,              0.0012608,              0.0012608,              0.0012608
                     59,                  1.873,                 2.2576,                 1.1698,                0.95859,                0.67738,                0.59009,                0.60889,                0.25575,                0.60673,                0.47059,                0.48571,                0.16205,                 2.0836,                 2.5414,                  1.487,                 1.0088,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.8881,                 2.1879,                 1.1334,                0.94304,                0.65544,                0.55229,                0.55823,                0.25128,                0.60204,                0.46078,                0.47073,                0.18224,                 2.0318,                 2.8551,                 1.5341,                0.99613,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.8901,                 2.2629,                 1.2077,                0.96613,                0.66554,                0.61128,                0.59595,                0.25534,                0.61442,                0.53595,                0.52191,                0.19317,                 2.0572,                 2.8429,                 1.4027,                  1.005,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.8788,                 2.2179,                 1.1281,                0.95668,                0.61126,                0.62745,                 0.5816,                0.23552,                0.62732,                0.48366,                0.50006,                 0.1743,                 2.1217,                 2.6725,                 1.4758,                 1.0194,               0.001208,               0.001208,               0.001208
                     63,                 1.8615,                 2.2674,                 1.1123,                0.95753,                0.63841,                0.60458,                0.59016,                0.26566,                0.62502,                0.47386,                0.49162,                0.18464,                 2.1048,                 2.7379,                 1.4893,                  1.012,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.8891,                 2.2909,                 1.1371,                0.93704,                0.74643,                0.54834,                0.58222,                 0.2808,                0.67418,                 0.4801,                0.50883,                0.19186,                 2.0023,                 2.6966,                 1.3864,                0.97866,              0.0011816,              0.0011816,              0.0011816
